"id";"swls_1_t1";"swls_2_t1";"swls_3_t1";"swls_4_t1";"swls_5_t1";"uls_1_t1";"uls_2_t1";"uls_3_t1";"uls_4_t1";"uls_5_t1";"uls_6_t1";"uls_7_t1";"uls_8_t1";"uls_9_t1";"awb_1_t1";"awb_2_t1";"awb_3_t1";"awb_4_t1";"awb_5_t1";"awb_6_t1";"demog_ses_t1";"party_affiliation_t1";"support_election2020_t1"
"FA20_1Y91NEDKRAM0";2;2;2;2;3;3;3;3;3;2;2;2;3;3;2;3;3;2;2;2;5;2;2
"FA20_222QGWUKY33Y";2;3;3;2;5;3;2;2;4;2;2;3;4;2;4;5;3;5;4;1;3;2;2
"FA20_230YTD0G6P3M";5;5;5;2;2;3;3;4;3;4;2;3;4;2;3;5;4;3;4;2;3;3;2
"FA20_23EEO07TFNXZ";5;5;5;6;5;3;3;4;3;4;3;4;3;4;1;4;5;1;5;4;7;4;2
"FA20_241JGPZFPSRT";1;2;4;3;1;4;4;3;4;3;3;4;4;1;2;5;3;5;3;1;5;2;2
"FA20_24CW0O7LSY0M";5;5;7;7;5;2;3;4;4;3;1;2;4;1;3;5;5;4;4;3;6;3;2
"FA20_25VSNNB9S2L7";2;5;4;6;7;3;3;3;1;3;3;2;3;4;3;2;3;4;2;5;5;2;2
"FA20_262M5PN3PILW";7;7;7;7;7;2;4;2;3;2;3;3;2;2;1;3;4;4;4;2;5;2;2
"FA20_27HB5HL37Z2G";4;4;4;5;2;3;4;4;3;4;4;4;3;4;2;5;4;3;4;2;5;2;2
"FA20_2AD97L0WAD94";6;5;6;4;7;3;3;2;2;2;3;3;3;3;1;2;4;1;4;4;7;1;1
"FA20_2AT2LY5G5UB1";6;5;6;6;3;4;3;2;4;2;3;3;4;3;1;5;3;4;3;4;6;4;1
"FA20_2AV28PP26WCS";7;6;7;7;7;2;4;4;1;4;4;4;4;4;3;3;5;2;4;5;8;2;2
"FA20_2E8VV9OTOTHB";4;6;5;5;6;2;4;4;2;4;3;4;2;4;3;3;4;2;4;4;5;4;2
"FA20_2G6MVH3F3JO4";5;6;6;5;6;2;3;3;2;4;3;2;2;4;1;2;3;1;2;2;6;1;1
"FA20_2GJA2PN665E6";5;5;6;5;4;3;4;4;2;3;3;3;2;4;2;4;5;3;4;4;5;4;2
"FA20_2H3KQ70DXZN6";2;4;5;5;7;4;4;2;1;1;1;3;3;4;5;5;5;5;5;5;NA;2;3
"FA20_2ISFC50E04CO";6;6;6;6;3;2;4;4;2;4;4;4;2;4;1;3;5;2;5;1;7;1;1
"FA20_2J8LI6S9I6ZA";6;6;4;7;6;4;3;2;4;2;2;2;3;3;2;5;2;4;2;1;8;1;1
"FA20_2JD4VI4Z1GUK";4;6;5;6;5;3;3;4;3;3;3;3;3;2;2;4;3;3;3;3;4;2;2
"FA20_2JVJPFQLAO2U";6;6;6;6;6;2;4;4;1;4;4;4;2;4;1;3;5;1;5;3;7;2;2
"FA20_2KC5UV3YM6YC";5;5;3;2;5;2;4;4;2;4;3;4;2;4;1;5;5;1;2;4;7;2;2
"FA20_2NNCB8CH28S6";2;6;5;3;6;4;3;3;3;4;2;2;4;1;1;5;3;3;2;2;8;2;2
"FA20_2NY4QTF1SDIX";3;3;2;3;1;3;4;2;4;2;3;1;4;4;2;4;3;4;1;2;7;2;2
"FA20_2ORSMDIINHQB";6;5;3;5;2;4;2;3;3;3;3;3;3;4;2;5;2;4;1;2;5;2;2
"FA20_2OYTJ60D2K3L";2;2;3;4;2;4;2;3;3;2;2;3;4;3;5;3;2;2;1;2;4;2;2
"FA20_2P6XNAAOIG4L";2;3;5;5;3;3;3;4;3;3;4;3;2;2;2;3;4;2;4;4;5;4;2
"FA20_2QBORZDU2NL7";6;5;7;7;6;3;3;4;3;4;4;3;2;4;1;2;5;2;4;3;7;3;3
"FA20_2QYD6SLA4QFS";5;3;6;5;5;4;3;4;2;4;4;3;3;4;3;5;5;4;2;1;6;2;2
"FA20_2S0E1CRZR8GH";2;2;4;1;7;3;2;4;3;4;2;2;4;1;3;5;3;4;5;4;6;2;2
"FA20_2SMURZTU0GEE";2;5;5;4;3;3;3;3;2;3;3;3;2;3;2;3;3;2;3;3;8;2;2
"FA20_2TSBPAE5HQ72";5;7;7;5;6;2;4;4;2;4;4;4;2;4;1;3;5;1;5;3;7;2;2
"FA20_2WFOQHP1C6D8";4;4;4;5;6;1;4;4;2;4;4;4;2;4;1;4;5;3;4;4;10;2;2
"FA20_2YLZWYF9DPN4";4;5;3;5;7;4;2;3;4;2;2;2;4;2;3;2;3;5;4;2;4;2;2
"FA20_2ZYL9N1K5768";5;7;6;5;5;3;3;3;3;3;3;4;3;2;2;5;5;4;5;3;6;2;2
"FA20_32UVJIK1ZDTQ";6;4;6;6;6;1;3;4;3;4;3;3;3;2;2;5;4;2;4;3;5;2;2
"FA20_32Y7VBSSEXG3";6;6;5;3;5;2;4;4;2;4;3;4;1;4;2;3;5;2;3;4;9;4;2
"FA20_35JWI6KTT7IM";6;7;3;6;1;2;3;3;3;3;4;3;3;2;3;3;4;4;2;3;5;2;2
"FA20_35P3LIF5GLVM";5;7;6;7;3;3;4;3;3;3;3;4;3;3;4;3;5;4;4;2;9;2;2
"FA20_35QXODH78SNR";5;6;6;6;5;3;3;3;3;3;3;3;3;3;2;4;5;3;4;2;9;1;1
"FA20_362PUZTGJK5Z";2;2;2;3;1;3;4;3;3;4;3;4;3;4;4;5;4;3;4;2;3;2;2
"FA20_384GRHI7DP82";6;6;5;6;4;2;3;4;2;4;3;4;1;3;1;3;3;3;3;2;6;3;2
"FA20_388BSNJLGFAJ";7;6;5;6;6;3;4;4;2;4;4;4;2;4;1;1;5;2;3;3;9;1;1
"FA20_391KS20NQZMB";5;2;2;1;2;2;3;3;3;3;3;3;2;3;4;4;3;4;3;3;5;4;2
"FA20_39FQ13QICMPI";1;2;3;2;3;4;4;2;4;2;2;2;4;3;3;5;3;5;2;1;7;3;2
"FA20_3AMGCZA34BHI";5;6;6;6;5;3;2;4;2;4;3;2;2;2;1;3;5;1;5;3;7;1;2
"FA20_3CHK0U1YAZOE";2;3;4;5;2;3;3;4;3;3;3;3;3;3;2;4;3;3;3;2;6;1;1
"FA20_3CNT1R3541IM";2;4;4;3;2;4;2;3;4;3;3;3;4;2;2;4;3;4;3;4;7;2;2
"FA20_3F8ENL5W6EL7";5;6;6;6;6;3;2;3;3;3;3;3;3;3;3;3;4;2;3;3;8;2;2
"FA20_3FVB6E6CF9UT";5;3;3;4;3;4;3;3;3;3;3;3;3;3;2;3;4;2;3;3;7;2;2
"FA20_3HJYZSR9O8HL";3;5;3;6;2;3;4;4;2;3;4;3;4;4;1;1;3;4;2;4;6;1;1
"FA20_3I70BU3T4TXL";5;6;5;6;6;3;4;4;2;4;3;3;2;3;2;3;4;2;4;4;8;2;2
"FA20_3JDIWRR595H8";5;6;3;4;2;4;3;4;2;4;4;4;2;4;3;4;3;2;2;2;NA;2;2
"FA20_3JPQFBBBG4UC";5;6;2;3;1;3;4;4;3;4;4;2;2;4;1;2;3;1;3;5;7;2;2
"FA20_3KF7994VZE4U";3;4;5;3;6;3;3;2;3;2;3;3;2;4;3;4;3;3;3;4;6;2;2
