"id";"momentary_wellbeing_angry_ema";"momentary_wellbeing_worried_ema";"momentary_wellbeing_happy_ema";"momentary_wellbeing_sad_ema";"momentary_wellbeing_stressed_ema";"momentary_wellbeing_lonely_ema";"momentary_wellbeing_accepted_ema";"momentary_context_activity_ema";"momentary_context_social_media_ema"
"FA20_G5NKVZ2KP5VB";1;3;3;2;4;2;3;"2,5,9,12";2
"FA20_8NTFF7PL11T6";1;2;3;1;3;2;3;"15";NA
"FA20_JDCD2B8EBU82";1;1;4;1;2;1;4;"8";NA
"FA20_I5TIAHM9GDFI";1;3;3;1;2;1;3;"1,2,5";1
"FA20_6PAZ0W1NMROG";2;3;2;1;2;2;2;"2";NA
"FA20_ADLE419DM0LX";1;2;1;1;2;1;1;"15";NA
"FA20_QYB68S38W0BS";1;2;3;1;2;1;2;"1,2,5,7,12";1
"FA20_3OBP2KUVFP2K";1;1;2;1;2;1;4;"5,9";2
"FA20_8UHGH89F82PS";1;2;3;1;2;2;4;"1,5";1
"FA20_YI7U1WC6W3KB";4;4;1;4;4;2;1;"12,15,18";NA
"FA20_SX11UUN9SBPU";1;1;4;1;1;1;4;"3,4,12,18";NA
"FA20_D6PX49DTTAP8";1;2;2;1;3;2;3;"2,4,5,9,11,18";2
"FA20_HKHN6PQOUMB4";1;2;2;2;4;2;2;"3";NA
"FA20_JRSWVQ4LUIUO";1;1;3;1;2;1;3;"1,3,4,5,11,15";1
"FA20_B3U36GT9HAHV";2;2;2;2;2;2;1;"19";NA
"FA20_OIWQW66T6GWF";2;3;4;1;2;2;4;"5,12,15";2
"FA20_3POP0B2CNLFH";3;4;2;3;4;2;3;"4,5,12";1
"FA20_YH6TC730JPDR";1;1;2;2;4;2;1;"1,2";NA
"FA20_AF5OESQKIFS7";1;2;4;2;3;2;2;"2,4,5,12,16,17";2
"FA20_NV7NOZJFK6BJ";1;2;3;1;3;1;3;"1,2,4,5,19";1
"FA20_QZX3ZSSFSQ0C";1;2;2;1;3;1;2;"19";NA
"FA20_3R4GFERH2ZKT";1;1;2;1;1;1;4;"15";NA
"FA20_J3KXST2VE4WF";1;2;3;2;2;2;2;"1,2,7,9";NA
"FA20_J7W24TVXZJOP";1;2;3;1;1;2;3;"2,4,5,7,8,9,12,18";2
"FA20_WSZ3527JAZO2";1;1;3;1;2;1;4;"1,5,7";1
"FA20_BCXX38WH75CQ";1;2;4;1;2;1;4;"4,5,15";1
"FA20_3X1W2OJ8YINS";1;2;2;3;2;4;2;"1,5,18";2
"FA20_4RWYQ0J1DQDV";1;4;2;2;4;1;2;"15";NA
"FA20_NNPDRYCMGX5B";1;4;2;2;4;2;2;"1,4,5,7,12";2
"FA20_8WWA9W3KRSG4";1;1;4;1;1;1;4;"2,5,6,18";2
